arquivo,bytes,sha256,origem
exercicio-2025/LDO-2025-Lei-7282/07-demonstrativo-de-riscos-fiscais-e-providencias.pdf,36499,ac95025bab9aac35c0633e418125911c5c1233d100c6286b33b3be471c48c968,https://www.varginha.mg.gov.br/publicos/arf_-_demonstrativo_de_riscos_fiscais_e_providencias_-_arfde_26041841.pdf
exercicio-2025/LDO-2025-Lei-7282/08-estimativa-e-compensacao-da-renuncia-de-receita.pdf,35454,a1c2a18e43b25842dec8e265981194329e9167ca0e79cefea5901536ca57bf6f,https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_07_-_estimativa_e_compensacao_da_renunci_26041226.pdf
exercicio-2025/LDO-2025-Lei-7282/09-evolucao-do-patrimonio-liquido.pdf,46743,d6180e3dee2ae0d8b8075e101f505e75a933f70af44bdf99cd066c79b8148a2e,https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_04_-_evolucao_do_patrimonio_liquido_26040920.pdf
exercicio-2025/LDO-2025-Lei-7282/10-margem-de-expansao-das-despesas-obrigatorias-de-carater-continuado.pdf,37551,b0693446f3b7a01cef6a1f7d0b1ee61a9b0a089f06e1ac0497f43ff4013b617b,https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_08_-_margem_de_expansao_das_despesas_obr_26041312.pdf
exercicio-2025/LDO-2025-Lei-7282/11-metas-anuais-2025-lei-n-7-282-de-12-de-julho-de-2024.pdf,39329,bce2beaac55291551eff41b15e10ac60d762e23845a1c5b77817445232e0410b,https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_01_-_metas_anuais_26040210.pdf
exercicio-2025/LDO-2025-Lei-7282/12-metas-fiscais-atuais-comparadas-com-as-fixadas-nos-tres-exercicios-anteriores.pdf,60409,8c3d069a9f5cdcb113d19da4a3130498a4a225961106657975e398d91c0c3186,https://www.varginha.mg.gov.br/publicos/varginha_-_amf_-_demonstrativo_03_-_das_metas_fiscais_atuais_26040745.pdf
exercicio-2025/LDO-2025-Lei-7282/13-obras-em-andamento.pdf,1646714,32eebac43a2f311b0dcecdb2696bc61dd00172099bd0b68d090d7ff6cffacd03,https://www.varginha.mg.gov.br/publicos/obras_22-04-2024_26041954.pdf
exercicio-2025/LDO-2025-Lei-7282/14-relatorio-de-metas-e-prioridades-das-despesas-por-programas.pdf,177857,94532617e1bb56d095a8ea8e4b0eef37ab451113ec97b289ab3c15bbf4972420,https://www.varginha.mg.gov.br/publicos/relatorio_das_metas_e_prioridades_das_despesas_por_programas_26043048.pdf
exercicio-2025/LOA-2025-Lei-7330/01-lei-anexos.pdf,20865552,4ca0f79419c2cdc5354794f78dd17ccd4b844e1a2dd2070ee7e2cab3b937b042,https://www.varginha.mg.gov.br/publicos/lei_7330_loa_e_anexos_27043452.pdf
exercicio-2026/LDO-2026-Lei-7417/01-anexo-de-metas-fiscais-metas-anuais.pdf,37643,e7d7c4ed89cfb9324b6293561698d066cb3799e8851e12d93423a8d4dee38f5c,https://www.varginha.mg.gov.br/publicos/amf_-_demonstrativo_01_-_metas_anuais_04112816.pdf
exercicio-2026/LDO-2026-Lei-7417/02-anexo-i-metodologia-e-memoria-de-calculo-das-metas-anuais-para-as-receitas-total-das-receitas-2026.pdf,627135,be28a6dc1125c21705761d0bd181ad4d1718e312e0f17fee518252121c31f8b2,https://www.varginha.mg.gov.br/publicos/anexo_i_-_metodologia_e_memoria_de_calculo_das_metas_anuais__04113445.pdf
exercicio-2026/LDO-2026-Lei-7417/03-anexo-ii-metodologia-e-memoria-de-calculo-das-metas-anuais-para-as-despesas-total-das-despesas-2.pdf,38292,92a1366171a1c631b9e0ae8786d5079eac32cef964984a39c396ca055b9f3364,https://www.varginha.mg.gov.br/publicos/anexo_ii_-_metodologia_e_memoria_de_calculo_das_metas_anuais_04113404.pdf
exercicio-2026/LDO-2026-Lei-7417/04-anexo-v-metodologia-e-memoria-de-calculo-das-metas-anuais-para-o-montante-da-divida-2026.pdf,69259,a880158723dd68f676d996c0d259049eaf7aaef2484e420c7c7da35c89e7414a,https://www.varginha.mg.gov.br/publicos/arf_-_demonstrativo_de_riscos_fiscais_e_providencias_04113540.pdf
